2022-04-05 12:57:33 INFO  AttachHooks:29 - Initializing setup
2022-04-05 12:57:35 INFO  AttachHooks:37 - Running Scenario:Verify Checkout functionality is working (with Extended Delivery Charges on Basket- Choice - Once)
2022-04-05 12:57:39 INFO  AddToCartPage:52 - Business Manager signin page opened
2022-04-05 12:57:40 INFO  AddToCartPage:54 - Entered Username
2022-04-05 12:57:40 INFO  AddToCartPage:56 - Entered Password
2022-04-05 12:57:40 INFO  WaitHelper:64 - Waiting for element to be clickable element: [By.xpath: //button[text()='Sign In']] for timeout [10000] seconds
2022-04-05 12:57:40 INFO  WaitHelper:67 - Wait completed and found clickable element: [By.xpath: //button[text()='Sign In']] for timeout [10000] seconds
2022-04-05 12:57:40 INFO  CommonHelper:196 - Clicking element By.xpath: //button[text()='Sign In']
2022-04-05 12:57:43 INFO  CommonHelper:198 - Clicked element By.xpath: //button[text()='Sign In']
2022-04-05 12:57:43 INFO  AddToCartPage:58 - Clicked on SignIn Button
2022-04-05 12:57:43 INFO  WaitHelper:64 - Waiting for element to be clickable element: [By.xpath: //span[contains(text(),'Site Setup')]] for timeout [10000] seconds
2022-04-05 12:57:43 INFO  WaitHelper:67 - Wait completed and found clickable element: [By.xpath: //span[contains(text(),'Site Setup')]] for timeout [10000] seconds
2022-04-05 12:57:43 INFO  CommonHelper:196 - Clicking element By.xpath: //span[contains(text(),'Site Setup')]
2022-04-05 12:57:43 INFO  CommonHelper:198 - Clicked element By.xpath: //span[contains(text(),'Site Setup')]
2022-04-05 12:57:43 INFO  AddToCartPage:64 - Clicked on Menu
2022-04-05 12:57:43 INFO  WaitHelper:64 - Waiting for element to be clickable element: [By.xpath: //a[contains(text(),'Site Settings')]] for timeout [10000] seconds
2022-04-05 12:57:43 INFO  WaitHelper:67 - Wait completed and found clickable element: [By.xpath: //a[contains(text(),'Site Settings')]] for timeout [10000] seconds
2022-04-05 12:57:43 INFO  CommonHelper:196 - Clicking element By.xpath: //a[contains(text(),'Site Settings')]
2022-04-05 12:57:49 INFO  CommonHelper:198 - Clicked element By.xpath: //a[contains(text(),'Site Settings')]
2022-04-05 12:57:49 INFO  AddToCartPage:70 - Clicked on SubMenu
2022-04-05 12:57:49 INFO  WaitHelper:64 - Waiting for element to be clickable element: [By.xpath: //a[contains(text(),'Transactional Settings')]] for timeout [10000] seconds
2022-04-05 12:57:49 INFO  WaitHelper:67 - Wait completed and found clickable element: [By.xpath: //a[contains(text(),'Transactional Settings')]] for timeout [10000] seconds
2022-04-05 12:57:49 INFO  CommonHelper:196 - Clicking element By.xpath: //a[contains(text(),'Transactional Settings')]
2022-04-05 12:57:50 INFO  CommonHelper:198 - Clicked element By.xpath: //a[contains(text(),'Transactional Settings')]
2022-04-05 12:57:50 INFO  VATPage:66 - Clicked on Site Setting Tab
2022-04-05 12:57:50 INFO  WaitHelper:64 - Waiting for element to be clickable element: [By.xpath: //a[contains(text(),'Order Settings')]] for timeout [10000] seconds
2022-04-05 12:57:50 INFO  WaitHelper:67 - Wait completed and found clickable element: [By.xpath: //a[contains(text(),'Order Settings')]] for timeout [10000] seconds
2022-04-05 12:57:50 INFO  CommonHelper:196 - Clicking element By.xpath: //a[contains(text(),'Order Settings')]
2022-04-05 12:57:50 INFO  CommonHelper:198 - Clicked element By.xpath: //a[contains(text(),'Order Settings')]
2022-04-05 12:57:50 INFO  VATPage:73 - Clicked on Transactional Setting Section
2022-04-05 12:57:50 INFO  WaitHelper:64 - Waiting for element to be clickable element: [By.xpath: //span[@id='select2-DeliveryType-container']] for timeout [10000] seconds
